#Project ID: Transcriptome analysis of Abiotic stress on two Barley cultivars			
SampleName	Replication	Identifier	File
GP_R1_H-and-D_D1_Flag	GA1	GA	GP_R1_H-and-D_D1_Flag_S59_L005_R1_001.fastq.gz
GP_R2_H-and-D_D1_Flag	GA2	GA	GP_R2_H-and-D_D1_Flag_S6_L006_R1_001.fastq.gz
GP_R3_H-and-D_D1_Flag	GA3	GA	GP_R3_H-and-D_D1_Flag_S60_L006_R1_001.fastq.gz
GP_R1_H-and-D_D1_Head	GB1	GB	GP_R1_H-and-D_D1_Head_S67_L005_R1_001.fastq.gz
GP_R2_H-and-D_D1_Head	GB2	GB	GP_R2_H-and-D_D1_Head_S14_L006_R1_001.fastq.gz
GP_R3_H-and-D_D1_Head	GB3	GB	GP_R3_H-and-D_D1_Head_S68_L006_R1_001.fastq.gz
GP_R1_H-and-D_D5_Flag	GC1	GC	GP_R1_H-and-D_D5_Flag_S75_L005_R1_001.fastq.gz
GP_R2_H-and-D_D5_Flag	GC2	GC	GP_R2_H-and-D_D5_Flag_S22_L006_R1_001.fastq.gz
GP_R3_H-and-D_D5_Flag	GC3	GC	GP_R3_H-and-D_D5_Flag_S55_L006_R1_001.fastq.gz
GP_R1_H-and-D_D5_Head	GD1	GD	GP_R1_H-and-D_D5_Head_S83_L005_R1_001.fastq.gz
GP_R2_H-and-D_D5_Head	GD2	GD	GP_R2_H-and-D_D5_Head_S30_L006_R1_001.fastq.gz
GP_R3_H-and-D_D5_Head	GD3	GD	GP_R3_H-and-D_D5_Head_S56_L006_R1_001.fastq.gz
GP_R1_H-and-DCon_D1_Flag	GE1	GE	GP_R1_H-and-DCon_D1_Flag_S91_L005_R1_001.fastq.gz
GP_R2_H-and-DCon_D1_Flag	GE2	GE	GP_R2_H-and-DCon_D1_Flag_S38_L006_R1_001.fastq.gz
GP_R3_H-and-DCon_D1_Flag	GE3	GE	GP_R3_H-and-DCon_D1_Flag_S107_L005_R1_001.fastq.gz
GP_R1_H-and-DCon_D1_Head	GF1	GF	GP_R1_H-and-DCon_D1_Head_S99_L005_R1_001.fastq.gz
GP_R2_H-and-DCon_D1_Head	GF2	GF	GP_R2_H-and-DCon_D1_Head_S46_L006_R1_001.fastq.gz
GP_R3_H-and-DCon_D1_Head	GF3	GF	GP_R3_H-and-DCon_D1_Head_S115_L005_R1_001.fastq.gz
GP_R1_H-and-DCon_D5_Flag	GG1	GG	GP_R1_H-and-DCon_D5_Flag_S100_L005_R1_001.fastq.gz
GP_R2_H-and-DCon_D5_Flag	GG2	GG	GP_R2_H-and-DCon_D5_Flag_S47_L006_R1_001.fastq.gz
GP_R3_H-and-DCon_D5_Flag	GG3	GG	GP_R3_H-and-DCon_D5_Flag_S123_L005_R1_001.fastq.gz
GP_R1_H-and-DCon_D5_Head	GH1	GH	GP_R1_H-and-DCon_D5_Head_S101_L005_R1_001.fastq.gz
GP_R2_H-and-DCon_D5_Head	GH2	GH	GP_R2_H-and-DCon_D5_Head_S48_L006_R1_001.fastq.gz
GP_R3_H-and-DCon_D5_Head	GH3	GH	GP_R3_H-and-DCon_D5_Head_S54_L006_R1_001.fastq.gz
GP_R1_Drought_D1_Flag	GI1	GI	GP_R1_Drought_D1_Flag_S58_L005_R1_001.fastq.gz
GP_R2_Drought_D1_Flag	GI2	GI	GP_R2_Drought_D1_Flag_S5_L006_R1_001.fastq.gz
GP_R3_Drought_D1_Flag	GI3	GI	GP_R3_Drought_D1_Flag_S106_L005_R1_001.fastq.gz
GP_R1_Drought_D1_Head	GJ1	GJ	GP_R1_Drought_D1_Head_S66_L005_R1_001.fastq.gz
GP_R2_Drought_D1_Head	GJ2	GJ	GP_R2_Drought_D1_Head_S13_L006_R1_001.fastq.gz
GP_R3_Drought_D1_Head	GJ3	GJ	GP_R3_Drought_D1_Head_S114_L005_R1_001.fastq.gz
GP_R1_Drought_D5_Flag	GK1	GK	GP_R1_Drought_D5_Flag_S74_L005_R1_001.fastq.gz
GP_R2_Drought_D5_Flag	GK2	GK	GP_R2_Drought_D5_Flag_S21_L006_R1_001.fastq.gz
GP_R3_Drought_D5_Flag	GK3	GK	GP_R3_Drought_D5_Flag_S122_L005_R1_001.fastq.gz
GP_R1_Drought_D5_Head	GL1	GL	GP_R1_Drought_D5_Head_S82_L005_R1_001.fastq.gz
GP_R2_Drought_D5_Head	GL2	GL	GP_R2_Drought_D5_Head_S29_L006_R1_001.fastq.gz
GP_R3_Drought_D5_Head	GL3	GL	GP_R3_Drought_D5_Head_S53_L006_R1_001.fastq.gz
GP_R1_DroughtCon_D1_Flag_	GM1	GM	GP_R1_DroughtCon_D1_Flag_S90_L005_R1_001.fastq.gz
GP_R2_DroughtCon_D1_Flag	GM2	GM	GP_R2_DroughtCon_D1_Flag_S37_L006_R1_001.fastq.gz
GP_R3_DroughtCon_D1_Flag	GM3	GM	GP_R3_DroughtCon_D1_Flag_S62_L006_R1_001.fastq.gz
GP_R1_DroughtCon_D1_Head	GN1	GN	GP_R1_DroughtCon_D1_Head_S98_L005_R1_001.fastq.gz
GP_R2_DroughtCon_D1_Head_	GN2	GN	GP_R2_DroughtCon_D1_Head_S45_L006_R1_001.fastq.gz
GP_R3_DroughtCon_D1_Head	GN3	GN	GP_R3_DroughtCon_D1_Head_S70_L006_R1_001.fastq.gz
GP_R1_DroughtCon_D5_Flag	GO1	GO	GP_R1_DroughtCon_D5_Flag_S92_L005_R1_001.fastq.gz
GP_R2_DroughtCon_D5_Flag	GO2	GO	GP_R2_DroughtCon_D5_Flag_S39_L006_R1_001.fastq.gz
GP_R3_DroughtCon_D5_Flag	GO3	GO	GP_R3_DroughtCon_D5_Flag_S71_L006_R1_001.fastq.gz
GP_R1_DroughtCon_D5_Head	GP1	GP	GP_R1_DroughtCon_D5_Head_S93_L005_R1_001.fastq.gz
GP_R2_DroughtCon_D5_Head	GP2	GP	GP_R2_DroughtCon_D5_Head_S40_L006_R1_001.fastq.gz
GP_R3_DroughtCon_D5_Head	GP3	GP	GP_R3_DroughtCon_D5_Head_S72_L006_R1_001.fastq.gz
GP_R1_Heat_D1_Flag	GQ1	GQ	GP_R1_Heat_D1_Flag_S57_L005_R1_001.fastq.gz
GP_R2_Heat_D1_Flag	GQ2	GQ	GP_R2_Heat_D1_Flag_S4_L006_R1_001.fastq.gz
GP_R3_Heat_D1_Flag	GQ3	GQ	GP_R3_Heat_D1_Flag_S105_L005_R1_001.fastq.gz
GP_R1_Heat_D1_Head	GR1	GR	GP_R1_Heat_D1_Head_S65_L005_R1_001.fastq.gz
GP_R2_Heat_D1_Head	GR2	GR	GP_R2_Heat_D1_Head_S12_L006_R1_001.fastq.gz
GP_R3_Heat_D1_Head_	GR3	GR	GP_R3_Heat_D1_Head_S113_L005_R1_001.fastq.gz
GP_R1_Heat_D5_Flag	GS1	GS	GP_R1_Heat_D5_Flag_S73_L005_R1_001.fastq.gz
GP_R2_Heat_D5_Flag	GS2	GS	GP_R2_Heat_D5_Flag_S20_L006_R1_001.fastq.gz
GP_R3_Heat_D5_Flag	GS3	GS	GP_R3_Heat_D5_Flag_S121_L005_R1_001.fastq.gz
GP_R1_Heat_D5_Head	GT1	GT	GP_R1_Heat_D5_Head_S81_L005_R1_001.fastq.gz
GP_R2_Heat_D5_Head	GT2	GT	GP_R2_Heat_D5_Head_S28_L006_R1_001.fastq.gz
GP_R3_Heat_D5_Head	GT3	GT	GP_R3_Heat_D5_Head_S52_L006_R1_001.fastq.gz
GP_R1_HeatCon_D1_Flag	GU1	GU	GP_R1_HeatCon_D1_Flag_S89_L005_R1_001.fastq.gz
GP_R2_HeatCon_D1_Flag	GU2	GU	GP_R2_HeatCon_D1_Flag_S36_L006_R1_001.fastq.gz
GP_R3_HeatCon_D1_Flag	GU3	GU	GP_R3_HeatCon_D1_Flag_S61_L006_R1_001.fastq.gz
GP_R1_HeatCon_D1_Head	GV1	GV	GP_R1_HeatCon_D1_Head_S97_L005_R1_001.fastq.gz
GP_R2_HeatCon_D1_Head	GV2	GV	GP_R2_HeatCon_D1_Head_S44_L006_R1_001.fastq.gz
GP_R3_HeatCon_D1_Head	GV3	GV	GP_R3_HeatCon_D1_Head_S69_L006_R1_001.fastq.gz
GP_R1_HeatCon_D5_Flag	GW1	GW	GP_R1_HeatCon_D5_Flag_S84_L005_R1_001.fastq.gz
GP_R2_HeatCon_D5_Flag	GW2	GW	GP_R2_HeatCon_D5_Flag_S31_L006_R1_001.fastq.gz
GP_R3_HeatCon_D5_Flag	GW3	GW	GP_R3_HeatCon_D5_Flag_S63_L006_R1_001.fastq.gz
GP_R1_HeatCon_D5_Head	GX1	GX	GP_R1_HeatCon_D5_Head_S85_L005_R1_001.fastq.gz
GP_R2_HeatCon_D5_Head	GX2	GX	GP_R2_HeatCon_D5_Head_S32_L006_R1_001.fastq.gz
GP_R3_HeatCon_D5_Head	GX3	GX	GP_R3_HeatCon_D5_Head_S64_L006_R1_001.fastq.gz
Otis_R1_H-and-D_D1_Flag	OA1	OA	Otis_R1_H-and-D_D1_Flag_S56_L005_R1_001.fastq.gz
Otis_R2_H-and-D_D1_Flag	OA2	OA	Otis_R2_H-and-D_D1_Flag_S3_L006_R1_001.fastq.gz
Otis_R3_H-and-D_D1_Flag	OA3	OA	Otis_R3_H-and-D_D1_Flag_S57_L006_R1_001.fastq.gz
Otis_R1_H-and-D_D1_Head	OB1	OB	Otis_R1_H-and-D_D1_Head_S64_L005_R1_001.fastq.gz
Otis_R2_H-and-D_D1_Head	OB2	OB	Otis_R2_H-and-D_D1_Head_S11_L006_R1_001.fastq.gz
Otis_R3_H-and-D_D1_Head	OB3	OB	Otis_R3_H-and-D_D1_Head_S65_L006_R1_001.fastq.gz
Otis_R1_H-and-D_D5_Flag	OC1	OC	Otis_R1_H-and-D_D5_Flag_S72_L005_R1_001.fastq.gz
Otis_R2_H-and-D_D5_Flag	OC2	OC	Otis_R2_H-and-D_D5_Flag_S19_L006_R1_001.fastq.gz
Otis_R3_H-and-D_D5_Flag	OC3	OC	Otis_R3_H-and-D_D5_Flag_S108_L005_R1_001.fastq.gz
Otis_R1_H-and-D_D5_Head	OD1	OD	Otis_R1_H-and-D_D5_Head_S80_L005_R1_001.fastq.gz
Otis_R2_H-and-D_D5_Head	OD2	OD	Otis_R2_H-and-D_D5_Head_S27_L006_R1_001.fastq.gz
Otis_R3_H-and-D_D5_Head	OD3	OD	Otis_R3_H-and-D_D5_Head_S109_L005_R1_001.fastq.gz
Otis_R1_H-and-DCon_D1_Flag	OE1	OE	Otis_R1_H-and-DCon_D1_Flag_S88_L005_R1_001.fastq.gz
Otis_R2_H-and-DCon_D1_Flag	OE2	OE	Otis_R2_H-and-DCon_D1_Flag_S35_L006_R1_001.fastq.gz
Otis_R3_H-and-DCon_D1_Flag	OE3	OE	Otis_R3_H-and-DCon_D1_Flag_S104_L005_R1_001.fastq.gz
Otis_R1_H-and-DCon_D1_Head	OF1	OF	Otis_R1_H-and-DCon_D1_Head_S96_L005_R1_001.fastq.gz
Otis_R2_H-and-DCon_D1_Head	OF2	OF	Otis_R2_H-and-DCon_D1_Head_S43_L006_R1_001.fastq.gz
Otis_R3_H-and-DCon_D1_Head	OF3	OF	Otis_R3_H-and-DCon_D1_Head_S112_L005_R1_001.fastq.gz
Otis_R1_H-and-DCon_D5_Flag	OG1	OG	Otis_R1_H-and-DCon_D5_Flag_S76_L005_R1_001.fastq.gz
Otis_R2_H-and-DCon_D5_Flag	OG2	OG	Otis_R2_H-and-DCon_D5_Flag_S23_L006_R1_001.fastq.gz
Otis_R3_H-and-DCon_D5_Flag	OG3	OG	Otis_R3_H-and-DCon_D5_Flag_S120_L005_R1_001.fastq.gz
Otis_R1_H-and-DCon_D5_Head	OH1	OH	Otis_R1_H-and-DCon_D5_Head_S77_L005_R1_001.fastq.gz
Otis_R2_H-and-DCon_D5_Head	OH2	OH	Otis_R2_H-and-DCon_D5_Head_S24_L006_R1_001.fastq.gz
Otis_R3_H-and-DCon_D5_Head	OH3	OH	Otis_R3_H-and-DCon_D5_Head_S51_L006_R1_001.fastq.gz
Otis_R1_Drought_D1_Flag	OI1	OI	Otis_R1_Drought_D1_Flag_S55_L005_R1_001.fastq.gz
Otis_R2_Drought_D1_Flag	OI2	OI	Otis_R2_Drought_D1_Flag_S2_L006_R1_001.fastq.gz
Otis_R3_Drought_D1_Flag	OI3	OI	Otis_R3_Drought_D1_Flag_S103_L005_R1_001.fastq.gz
Otis_R1_Drought_D1_Head	OJ1	OJ	Otis_R1_Drought_D1_Head_S63_L005_R1_001.fastq.gz
Otis_R2_Drought_D1_Head	OJ2	OJ	Otis_R2_Drought_D1_Head_S10_L006_R1_001.fastq.gz
Otis_R3_Drought_D1_Head	OJ3	OJ	Otis_R3_Drought_D1_Head_S111_L005_R1_001.fastq.gz
Otis_R1_Drought_D5_Flag	OK1	OK	Otis_R1_Drought_D5_Flag_S71_L005_R1_001.fastq.gz
Otis_R2_Drought_D5_Flag	OK2	OK	Otis_R2_Drought_D5_Flag_S18_L006_R1_001.fastq.gz
Otis_R3_Drought_D5_Flag	OK3	OK	Otis_R3_Drought_D5_Flag_S119_L005_R1_001.fastq.gz
Otis_R1_Drought_D5_Head	OL1	OL	Otis_R1_Drought_D5_Head_S79_L005_R1_001.fastq.gz
Otis_R2_Drought_D5_Head	OL2	OL	Otis_R2_Drought_D5_Head_S26_L006_R1_001.fastq.gz
Otis_R3_Drought_D5_Head	OL3	OL	Otis_R3_Drought_D5_Head_S50_L006_R1_001.fastq.gz
Otis_R1_DroughtCon_D1_Flag	OM1	OM	Otis_R1_DroughtCon_D1_Flag_S87_L005_R1_001.fastq.gz
Otis_R2_DroughtCon_D1_Flag	OM2	OM	Otis_R2_DroughtCon_D1_Flag_S34_L006_R1_001.fastq.gz
Otis_R3_DrtCon_D1_Flag	OM3	OM	Otis_R3_DrtCon_D1_Flag_S59_L006_R1_001.fastq.gz
Otis_R1_DroughtCon_D1_Head	ON1	ON	Otis_R1_DroughtCon_D1_Head_S95_L005_R1_001.fastq.gz
Otis_R2_DroughtCon_D1_Head	ON2	ON	Otis_R2_DroughtCon_D1_Head_S42_L006_R1_001.fastq.gz
Otis_R3_DrtCon_D1_Head	ON3	ON	Otis_R3_DrtCon_D1_Head_S67_L006_R1_001.fastq.gz
Otis_R1_DroughtCon_D5_Flag	OO1	OO	Otis_R1_DroughtCon_D5_Flag_S68_L005_R1_001.fastq.gz
Otis_R2_DroughtCon_D5_Flag	OO2	OO	Otis_R2_DroughtCon_D5_Flag_S15_L006_R1_001.fastq.gz
Otis_R3_DrtCon_D5_Flag	OO3	OO	Otis_R3_DrtCon_D5_Flag_S124_L005_R1_001.fastq.gz
Otis_R1_DroughtCon_D5_Head	OP1	OP	Otis_R1_DroughtCon_D5_Head_S69_L005_R1_001.fastq.gz
Otis_R2_DroughtCon_D5_Head	OP2	OP	Otis_R2_DroughtCon_D5_Head_S16_L006_R1_001.fastq.gz
Otis_R3_DrtCon_D5_Head	OP3	OP	Otis_R3_DrtCon_D5_Head_S125_L005_R1_001.fastq.gz
Otis_R1_Heat_D1_Flag	OQ1	OQ	Otis_R1_Heat_D1_Flag_S54_L005_R1_001.fastq.gz
Otis_R2_Heat_D1_Flag	OQ2	OQ	Otis_R2_Heat_D1_Flag_S1_L006_R1_001.fastq.gz
Otis_R3_Heat_D1_Flag	OQ3	OQ	Otis_R3_Heat_D1_Flag_S102_L005_R1_001.fastq.gz
Otis_R1_Heat_D1_Head	OR1	OR	Otis_R1_Heat_D1_Head_S62_L005_R1_001.fastq.gz
Otis_R2_Heat_D1_Head_	OR2	OR	Otis_R2_Heat_D1_Head_S9_L006_R1_001.fastq.gz
Otis_R3_Heat_D1_Head	OR3	OR	Otis_R3_Heat_D1_Head_S110_L005_R1_001.fastq.gz
Otis_R1_Heat_D5_Flag	OS1	OS	Otis_R1_Heat_D5_Flag_S70_L005_R1_001.fastq.gz
Otis_R2_Heat_D5_Flag	OS2	OS	Otis_R2_Heat_D5_Flag_S17_L006_R1_001.fastq.gz
Otis_R3_Heat_D5_Flag	OS3	OS	Otis_R3_Heat_D5_Flag_S118_L005_R1_001.fastq.gz
Otis_R1_Heat_D5_Head	OT1	OT	Otis_R1_Heat_D5_Head_S78_L005_R1_001.fastq.gz
Otis_R2_Heat_D5_Head	OT2	OT	Otis_R2_Heat_D5_Head_S25_L006_R1_001.fastq.gz
Otis_R3_Heat_D5_Head	OT3	OT	Otis_R3_Heat_D5_Head_S49_L006_R1_001.fastq.gz
Otis_R1_HeatCon_D1_Flag	OU1	OU	Otis_R1_HeatCon_D1_Flag_S86_L005_R1_001.fastq.gz
Otis_R2_HeatCon_D1_Flag	OU2	OU	Otis_R2_HeatCon_D1_Flag_S33_L006_R1_001.fastq.gz
Otis_R3_HeatCon_D1_Flag	OU3	OU	Otis_R3_HeatCon_D1_Flag_S58_L006_R1_001.fastq.gz
Otis_R1_HeatCon_D1_Head	OV1	OV	Otis_R1_HeatCon_D1_Head_S94_L005_R1_001.fastq.gz
Otis_R2_HeatCon_D1_Head	OV2	OV	Otis_R2_HeatCon_D1_Head_S41_L006_R1_001.fastq.gz
Otis_R3_HeatCon_D1_Head	OV3	OV	Otis_R3_HeatCon_D1_Head_S66_L006_R1_001.fastq.gz
Otis_R1_HeatCon_D5_Flag	OW1	OW	Otis_R1_HeatCon_D5_Flag_S60_L005_R1_001.fastq.gz
Otis_R2_HeatCon_D5_Flag	OW2	OW	Otis_R2_HeatCon_D5_Flag_S7_L006_R1_001.fastq.gz
Otis_R3_HeatCon_D5_Flag	OW3	OW	Otis_R3_HeatCon_D5_Flag_S116_L005_R1_001.fastq.gz
Otis_R1_HeatCon_D5_Head	OX1	OX	Otis_R1_HeatCon_D5_Head_S61_L005_R1_001.fastq.gz
Otis_R2_HeatCon_D5_Head	OX2	OX	Otis_R2_HeatCon_D5_Head_S8_L006_R1_001.fastq.gz
Otis_R3_HeatCon_D5_Head	OX3	OX	Otis_R3_HeatCon_D5_Head_S117_L005_R1_001.fastq.gz
